COMM_CODE_09,CENSUS_YEAR_09,RESIDENT_CNT_09,COMM_CODE_19,CENSUS_YEAR_19,RESIDENT_CNT_19,PER_GRWTH,TOP_5_COMM_CODE,TOP_5_PERCENT_GROWTH,TOP_5_POP_09,TOP_5_POP_19,,,,,,,,,,,,,,,
SKR,2009,26,SKR,2019,11707,44926.92308,SKR,44926.92308,26,11707,,,,,,,,,,,,,,,
SGH,2009,263,SGH,2019,7924,2912.927757,SGH,2912.927757,263,7924,,,,,,,,,,,,,,,
AUB,2009,3465,AUB,2019,17603,408.023088,AUB,408.023088,3465,17603,,,,,,,,,,,,,,,
SHW,2009,1546,SHW,2019,6241,303.686934,SHW,303.686934,1546,6241,,,,,,,,,,,,,,,
EVN,2009,4599,EVN,2019,17685,284.5401174,EVN,284.5401174,4599,17685,,,,,,,,,,,,,,,
ASP,2009,2823,ASP,2019,9439,234.3606093,,,,,,,,,,,,,,,,,,,
SVO,2009,2617,SVO,2019,7652,192.3958731,,,,,,,,,,,,,,,,,,,
NEB,2009,5142,NEB,2019,13103,154.8230261,,,,,,,,,,,,,,,,,,,
CPF,2009,5609,CPF,2019,13822,146.4253878,,,,,,,,,,,,,,,,,,,
CRA,2009,9140,CRA,2019,19884,117.5492341,,,,,,,,,,,,,,,,,,,
KCA,2009,3383,KCA,2019,6889,103.6358262,,,,,,,,,,,,,,,,,,,
CHN,2009,1287,CHN,2019,2471,91.996892,,,,,,,,,,,,,,,,,,,
SAD,2009,12255,SAD,2019,22317,82.10526316,,,,,,,,,,,,,,,,,,,
MAN,2009,611,MAN,2019,1025,67.75777414,,,,,,,,,,,,,,,,,,,
WSP,2009,6651,WSP,2019,10752,61.65990077,,,,,,,,,,,,,,,,,,,
DNE,2009,2448,DNE,2019,3892,58.9869281,,,,,,,,,,,,,,,,,,,
PAN,2009,16444,PAN,2019,25710,56.34882024,,,,,,,,,,,,,,,,,,,
BLN,2009,18341,BLN,2019,25115,36.93364593,,,,,,,,,,,,,,,,,,,
SPR,2009,3518,SPR,2019,4672,32.80272882,,,,,,,,,,,,,,,,,,,
BRD,2009,5144,BRD,2019,6831,32.79548989,,,,,,,,,,,,,,,,,,,
TAR,2009,14515,TAR,2019,19022,31.05063727,,,,,,,,,,,,,,,,,,,
MCT,2009,14068,MCT,2019,18283,29.96161501,,,,,,,,,,,,,,,,,,,
SHS,2009,1507,SHS,2019,1911,26.80822827,,,,,,,,,,,,,,Not Included,,,,,
CGR,2009,5525,CGR,2019,6995,26.60633484,,,,,,,,,,,,,,COMM_CODE,CENSUS_YEAR,RES_COUNT,COMM_CODE,CENSUS_YEAR,RES_COUNT
SPH,2009,7873,SPH,2019,9938,26.22888353,,,,,,,,,,,,,,CFL,2009,1376,BLM,2019,84
RIC,2009,3985,RIC,2019,4962,24.51693852,,,,,,,,,,,,,,SKY,2009,0,BVD,2019,41
