Business,Address,Annual Consumption,Unit,City,Province,Country,Year
#100 6704 6 ST SW,#100 6704 6 ST SW,198,GJ,Calgary,Alberta,Canada,2018
#100 816 MCDOUGALL RD NE HOUSING,#100 816 MCDOUGALL RD NE,48,GJ,Calgary,Alberta,Canada,2018
100 CASTLEDALE WY NE HOUSING,100 CASTLEDALE WY NE,24,GJ,Calgary,Alberta,Canada,2018
100 FALCHURCH CR NE HOUSING,100 FALCHURCH CR NE,17,GJ,Calgary,Alberta,Canada,2018
10 & 12 FALMEAD PL NE HOUSING,12 FALMEAD PL NE,22,GJ,Calgary,Alberta,Canada,2018
#10-15 2730 19 AV SE HOUSING,#10-15 2730 19 AV SE,41,GJ,Calgary,Alberta,Canada,2018
1019 78 AV NW HOUSING,1019 78 AV NW,16,GJ,Calgary,Alberta,Canada,2018
1031A-1031D 8 ST SE HOUSING,1031 8 ST SE,34,GJ,Calgary,Alberta,Canada,2018
1033-1039 8 ST SE HOUSING,1033 8 ST SE,73,GJ,Calgary,Alberta,Canada,2018
1040 & 1042 MAGGIE ST SE HOUSING,1040 MAGGIE ST SE,17,GJ,Calgary,Alberta,Canada,2018
1041 & 1043 8 ST SE HOUSING,1041 8 ST SE,15,GJ,Calgary,Alberta,Canada,2018
1045 & 1047 8 ST SE HOUSING,1045 8 ST SE,21,GJ,Calgary,Alberta,Canada,2018
1049 & 1051 8 ST SE HOUSING,1051 8 ST SE,18,GJ,Calgary,Alberta,Canada,2018
104 ABINGDON CO NE HOUSING,104 ABINGDON CO NE,16,GJ,Calgary,Alberta,Canada,2018
106-110 TACHE AV NW HOUSING,110 TACHE AV NW,29,GJ,Calgary,Alberta,Canada,2018
108 ABALONE CR NE HOUSING,108 ABALONE CR NE,14,GJ,Calgary,Alberta,Canada,2018
110 & 112 ERIN WOODS BV SE HOUSING,110 ERIN WOODS BV SE,23,GJ,Calgary,Alberta,Canada,2018
1111 36 ST SE HOUSING,1111 36 ST SE,21,GJ,Calgary,Alberta,Canada,2018
111 ABALONE WY NE HOUSING,111 ABALONE WY NE,14,GJ,Calgary,Alberta,Canada,2018
1129 & 1131 22 AV NW HOUSING,1129 22 AV NW,22,GJ,Calgary,Alberta,Canada,2018
113 & 115 FALBURY CR NE HOUSING,113 FALBURY CR NE,25,GJ,Calgary,Alberta,Canada,2018
1133 & 1135 22 AV NW HOUSING,1131 22 AV NW,29,GJ,Calgary,Alberta,Canada,2018
1137 & 1139 22 AV NW HOUSING,1133 22 AV NW,24,GJ,Calgary,Alberta,Canada,2018
114 & 116 ERIN WOODS BV SE HOUSING,114 ERIN WOODS BV SE,29,GJ,Calgary,Alberta,Canada,2018
116 ABBERCOVE WY SE HOUSING,116 ABBERCOVE WY SE,11,GJ,Calgary,Alberta,Canada,2018
118-124 ERIN DALE CR SE HOUSING,120 ERIN DALE CR SE,40,GJ,Calgary,Alberta,Canada,2018
