Business,Address,Annual Consumption,Unit,City,Province,Country
#100 6704 6 ST SW,#100 6704 6 ST SW,545,GJ,Calgary,Alberta,Canada
#100 816 MCDOUGALL RD NE HOUSING,#100 816 MCDOUGALL RD NE,385,GJ,Calgary,Alberta,Canada
100 CASTLEDALE WY NE HOUSING,100 CASTLEDALE WY NE,156,GJ,Calgary,Alberta,Canada
100 FALCHURCH CR NE HOUSING,100 FALCHURCH CR NE,131,GJ,Calgary,Alberta,Canada
10 & 12 FALMEAD PL NE HOUSING,12 FALMEAD PL NE,148,GJ,Calgary,Alberta,Canada
#10-15 2730 19 AV SE HOUSING,#10-15 2730 19 AV SE,315,GJ,Calgary,Alberta,Canada
1019 78 AV NW HOUSING,1019 78 AV NW,136,GJ,Calgary,Alberta,Canada
1031A-1031D 8 ST SE HOUSING,1031 8 ST SE,272,GJ,Calgary,Alberta,Canada
1033-1039 8 ST SE HOUSING,1033 8 ST SE,489,GJ,Calgary,Alberta,Canada
1040 & 1042 MAGGIE ST SE HOUSING,1040 MAGGIE ST SE,137,GJ,Calgary,Alberta,Canada
1041 & 1043 8 ST SE HOUSING,1041 8 ST SE,122,GJ,Calgary,Alberta,Canada
1045 & 1047 8 ST SE HOUSING,1045 8 ST SE,127,GJ,Calgary,Alberta,Canada
1049 & 1051 8 ST SE HOUSING,1051 8 ST SE,139,GJ,Calgary,Alberta,Canada
104 ABINGDON CO NE HOUSING,104 ABINGDON CO NE,138,GJ,Calgary,Alberta,Canada
106-110 TACHE AV NW HOUSING,110 TACHE AV NW,199,GJ,Calgary,Alberta,Canada
108 ABALONE CR NE HOUSING,108 ABALONE CR NE,105,GJ,Calgary,Alberta,Canada
110 & 112 ERIN WOODS BV SE HOUSING,110 ERIN WOODS BV SE,180,GJ,Calgary,Alberta,Canada
1111 36 ST SE HOUSING,1111 36 ST SE,158,GJ,Calgary,Alberta,Canada
111 ABALONE WY NE HOUSING,111 ABALONE WY NE,110,GJ,Calgary,Alberta,Canada
1129 & 1131 22 AV NW HOUSING,1129 22 AV NW,165,GJ,Calgary,Alberta,Canada
113 & 115 FALBURY CR NE HOUSING,113 FALBURY CR NE,173,GJ,Calgary,Alberta,Canada
1133 & 1135 22 AV NW HOUSING,1131 22 AV NW,191,GJ,Calgary,Alberta,Canada
1137 & 1139 22 AV NW HOUSING,1133 22 AV NW,152,GJ,Calgary,Alberta,Canada
114 & 116 ERIN WOODS BV SE HOUSING,114 ERIN WOODS BV SE,226,GJ,Calgary,Alberta,Canada
116 ABBERCOVE WY SE HOUSING,116 ABBERCOVE WY SE,149,GJ,Calgary,Alberta,Canada
118-124 ERIN DALE CR SE HOUSING,120 ERIN DALE CR SE,258,GJ,Calgary,Alberta,Canada
120 FALTON DR NE HOUSING,120 FALTON DR NE,129,GJ,Calgary,Alberta,Canada
121 & 123 FALSBY RD NE HOUSING,121 FALSBY RD NE,161,GJ,Calgary,Alberta,Canada
1215 17 AV NW HOUSING,1215 17 AV NW,1020,GJ,Calgary,Alberta,Canada
121 FALTON DR NE HOUSING,121 FALTON DR NE,86,GJ,Calgary,Alberta,Canada
1239 17 AV NW HOUSING,1239 17 AV NW,948,GJ,Calgary,Alberta,Canada
123 ABALONE WY NE HOUSING,123 ABALONE WY NE,113,GJ,Calgary,Alberta,Canada
123 ERIN MOUNT CR SE HOUSING,123 ERIN MOUNT CR SE,110,GJ,Calgary,Alberta,Canada
123 FALTON DR NE HOUSING,123 FALTON DR NE,73,GJ,Calgary,Alberta,Canada
126-130 ERIN DALE CR SE HOUSING,126 ERIN DALE CR SE,266,GJ,Calgary,Alberta,Canada
127 ERIN MOUNT CR SE HOUSING,127 ERIN MOUNT CR SE,112,GJ,Calgary,Alberta,Canada
128 HAVENHURST CR SW HOUSING,128 HAVENHURST CR SW,128,GJ,Calgary,Alberta,Canada
12 ABBERCOVE DR SE HOUSING,12 ABBERCOVE DR SE,117,GJ,Calgary,Alberta,Canada
12 ERIN RIDGE PL SE HOUSING,12 ERIN RIDGE PL SE,110,GJ,Calgary,Alberta,Canada
1327 36 ST SE HOUSING,1327 36 ST SE,211,GJ,Calgary,Alberta,Canada
132 FALTON DR NE HOUSING,132 FALTON DR NE,142,GJ,Calgary,Alberta,Canada
1352 FALCONRIDGE DR NE HOUSING,1352 FALCONRIDGE DR NE,94,GJ,Calgary,Alberta,Canada
#1-3 60 CEDARWOOD HL SW HOUSING,60 CEDARWOOD HL SW,220,GJ,Calgary,Alberta,Canada
139 ERIN MOUNT CR SE HOUSING,139 ERIN MOUNT CR SE,136,GJ,Calgary,Alberta,Canada
13 ERIN WOODS PL SE HOUSING,13 ERIN WOODS PL SE,121,GJ,Calgary,Alberta,Canada
1404 & 1406 15 ST SE HOUSING,1406 15 ST SE,234,GJ,Calgary,Alberta,Canada
1407 & 1409 16 ST SE HOUSING,1409 16 ST SE,170,GJ,Calgary,Alberta,Canada
1408 & 1410 16 ST SE HOUSING,1410 16 ST SE,219,GJ,Calgary,Alberta,Canada
140 ERIN GROVE CL SE HOUSING,140 ERIN GROVE CL SE,126,GJ,Calgary,Alberta,Canada
140 FALTON CL NE HOUSING,140 FALTON CL NE,104,GJ,Calgary,Alberta,Canada
1413 & 1415 16A ST SE HOUSING,1415 16A ST SE,143,GJ,Calgary,Alberta,Canada
#14-18 7000 RANCHERO RD NW HOUSING,7000 RANCHERO RD NW,451,GJ,Calgary,Alberta,Canada
1420 & 1420 16A ST SE HOUSING,1420 16A ST SE,197,GJ,Calgary,Alberta,Canada
144 FALTON CL NE HOUSING,144 FALTON CL NE,97,GJ,Calgary,Alberta,Canada
1451 21 AV SW HOUSING,1451 21 AV SW,4583,GJ,Calgary,Alberta,Canada
15 & 19 DEERPOINT RD SE HOUSING,19 DEERPOINT RD SE,198,GJ,Calgary,Alberta,Canada
152 ABINGDON CO NE HOUSING,152 ABINGDON CO NE,155,GJ,Calgary,Alberta,Canada
155 & 157 FALTON DR NE HOUSING,155 FALTON DR NE,178,GJ,Calgary,Alberta,Canada
