Business,Address,Annual Consumption,Unit,City,Province,Country,Year
#100 6704 6 ST SW,#100 6704 6 ST SW,491,GJ,Calgary,Alberta,Canada,2021
#100 816 MCDOUGALL RD NE HOUSING,#100 816 MCDOUGALL RD NE,353,GJ,Calgary,Alberta,Canada,2021
100 CASTLEDALE WY NE HOUSING,100 CASTLEDALE WY NE,153,GJ,Calgary,Alberta,Canada,2021
100 FALCHURCH CR NE HOUSING,100 FALCHURCH CR NE,126,GJ,Calgary,Alberta,Canada,2021
10 & 12 FALMEAD PL NE HOUSING,12 FALMEAD PL NE,143,GJ,Calgary,Alberta,Canada,2021
#10-15 2730 19 AV SE HOUSING,#10-15 2730 19 AV SE,318,GJ,Calgary,Alberta,Canada,2021
1019 78 AV NW HOUSING,1019 78 AV NW,133,GJ,Calgary,Alberta,Canada,2021
1031A-1031D 8 ST SE HOUSING,1031 8 ST SE,259,GJ,Calgary,Alberta,Canada,2021
1033-1039 8 ST SE HOUSING,1033 8 ST SE,476,GJ,Calgary,Alberta,Canada,2021
1040 & 1042 MAGGIE ST SE HOUSING,1040 MAGGIE ST SE,136,GJ,Calgary,Alberta,Canada,2021
1041 & 1043 8 ST SE HOUSING,1041 8 ST SE,93,GJ,Calgary,Alberta,Canada,2021
1045 & 1047 8 ST SE HOUSING,1045 8 ST SE,137,GJ,Calgary,Alberta,Canada,2021
1049 & 1051 8 ST SE HOUSING,1051 8 ST SE,143,GJ,Calgary,Alberta,Canada,2021
104 ABINGDON CO NE HOUSING,104 ABINGDON CO NE,146,GJ,Calgary,Alberta,Canada,2021
106-110 TACHE AV NW HOUSING,110 TACHE AV NW,189,GJ,Calgary,Alberta,Canada,2021
108 ABALONE CR NE HOUSING,108 ABALONE CR NE,86,GJ,Calgary,Alberta,Canada,2021
110 & 112 ERIN WOODS BV SE HOUSING,110 ERIN WOODS BV SE,167,GJ,Calgary,Alberta,Canada,2021
1111 36 ST SE HOUSING,1111 36 ST SE,106,GJ,Calgary,Alberta,Canada,2021
111 ABALONE WY NE HOUSING,111 ABALONE WY NE,98,GJ,Calgary,Alberta,Canada,2021
1129 & 1131 22 AV NW HOUSING,1129 22 AV NW,158,GJ,Calgary,Alberta,Canada,2021
113 & 115 FALBURY CR NE HOUSING,113 FALBURY CR NE,153,GJ,Calgary,Alberta,Canada,2021
1133 & 1135 22 AV NW HOUSING,1131 22 AV NW,177,GJ,Calgary,Alberta,Canada,2021
1137 & 1139 22 AV NW HOUSING,1133 22 AV NW,148,GJ,Calgary,Alberta,Canada,2021
114 & 116 ERIN WOODS BV SE HOUSING,114 ERIN WOODS BV SE,235,GJ,Calgary,Alberta,Canada,2021
116 ABBERCOVE WY SE HOUSING,116 ABBERCOVE WY SE,128,GJ,Calgary,Alberta,Canada,2021
118-124 ERIN DALE CR SE HOUSING,120 ERIN DALE CR SE,239,GJ,Calgary,Alberta,Canada,2021
120 FALTON DR NE HOUSING,120 FALTON DR NE,126,GJ,Calgary,Alberta,Canada,2021
121 & 123 FALSBY RD NE HOUSING,121 FALSBY RD NE,188,GJ,Calgary,Alberta,Canada,2021
1215 17 AV NW HOUSING,1215 17 AV NW,1002,GJ,Calgary,Alberta,Canada,2021
121 FALTON DR NE HOUSING,121 FALTON DR NE,89,GJ,Calgary,Alberta,Canada,2021
1239 17 AV NW HOUSING,1239 17 AV NW,867,GJ,Calgary,Alberta,Canada,2021
123 ABALONE WY NE HOUSING,123 ABALONE WY NE,112,GJ,Calgary,Alberta,Canada,2021
123 ERIN MOUNT CR SE HOUSING,123 ERIN MOUNT CR SE,125,GJ,Calgary,Alberta,Canada,2021
123 FALTON DR NE HOUSING,123 FALTON DR NE,76,GJ,Calgary,Alberta,Canada,2021
126-130 ERIN DALE CR SE HOUSING,126 ERIN DALE CR SE,234,GJ,Calgary,Alberta,Canada,2021
127 ERIN MOUNT CR SE HOUSING,127 ERIN MOUNT CR SE,104,GJ,Calgary,Alberta,Canada,2021
128 HAVENHURST CR SW HOUSING,128 HAVENHURST CR SW,130,GJ,Calgary,Alberta,Canada,2021
12 ABBERCOVE DR SE HOUSING,12 ABBERCOVE DR SE,101,GJ,Calgary,Alberta,Canada,2021
12 ERIN RIDGE PL SE HOUSING,12 ERIN RIDGE PL SE,111,GJ,Calgary,Alberta,Canada,2021
1327 36 ST SE HOUSING,1327 36 ST SE,207,GJ,Calgary,Alberta,Canada,2021
132 FALTON DR NE HOUSING,132 FALTON DR NE,125,GJ,Calgary,Alberta,Canada,2021
1352 FALCONRIDGE DR NE HOUSING,1352 FALCONRIDGE DR NE,103,GJ,Calgary,Alberta,Canada,2021
#1-3 60 CEDARWOOD HL SW HOUSING,60 CEDARWOOD HL SW,245,GJ,Calgary,Alberta,Canada,2021
139 ERIN MOUNT CR SE HOUSING,139 ERIN MOUNT CR SE,121,GJ,Calgary,Alberta,Canada,2021
13 ERIN WOODS PL SE HOUSING,13 ERIN WOODS PL SE,106,GJ,Calgary,Alberta,Canada,2021
1404 & 1406 15 ST SE HOUSING,1406 15 ST SE,194,GJ,Calgary,Alberta,Canada,2021
1407 & 1409 16 ST SE HOUSING,1409 16 ST SE,154,GJ,Calgary,Alberta,Canada,2021
1408 & 1410 16 ST SE HOUSING,1410 16 ST SE,224,GJ,Calgary,Alberta,Canada,2021
140 ERIN GROVE CL SE HOUSING,140 ERIN GROVE CL SE,119,GJ,Calgary,Alberta,Canada,2021
140 FALTON CL NE HOUSING,140 FALTON CL NE,103,GJ,Calgary,Alberta,Canada,2021
1413 & 1415 16A ST SE HOUSING,1415 16A ST SE,140,GJ,Calgary,Alberta,Canada,2021
#14-18 7000 RANCHERO RD NW HOUSING,7000 RANCHERO RD NW,436,GJ,Calgary,Alberta,Canada,2021
1420 & 1420 16A ST SE HOUSING,1420 16A ST SE,184,GJ,Calgary,Alberta,Canada,2021
144 FALTON CL NE HOUSING,144 FALTON CL NE,88,GJ,Calgary,Alberta,Canada,2021
1451 21 AV SW HOUSING,1451 21 AV SW,5236,GJ,Calgary,Alberta,Canada,2021
15 & 19 DEERPOINT RD SE HOUSING,19 DEERPOINT RD SE,195,GJ,Calgary,Alberta,Canada,2021
152 ABINGDON CO NE HOUSING,152 ABINGDON CO NE,142,GJ,Calgary,Alberta,Canada,2021
155 & 157 FALTON DR NE HOUSING,155 FALTON DR NE,164,GJ,Calgary,Alberta,Canada,2021
159 & 161 FALTON DR NE HOUSING,159 FALTON DR NE,170,GJ,Calgary,Alberta,Canada,2021
15 RANCHERO GR NW HOUSING,15 RANCHERO GR NW,284,GJ,Calgary,Alberta,Canada,2021
160 FALTON DR NE HOUSING,160 FALTON DR NE,114,GJ,Calgary,Alberta,Canada,2021
#1-6 15 NORQUAY CO NW HOUSING,#1-6 15 NORQUAY CO NW,596,GJ,Calgary,Alberta,Canada,2021
1620 12 AV SW HOUSING,1620 12 AV SW,1853,GJ,Calgary,Alberta,Canada,2021
1631 4A ST NW HOUSING,1631 4A ST NW,102,GJ,Calgary,Alberta,Canada,2021
1635 6A ST NW HOUSING,1635 6A ST NW,82,GJ,Calgary,Alberta,Canada,2021
1636 4A ST NW HOUSING,1636 4A ST NW,67,GJ,Calgary,Alberta,Canada,2021
1636 6A ST NW HOUSING,1636 6A ST NW,80,GJ,Calgary,Alberta,Canada,2021
1636 6 ST NW HOUSING,1636 6 ST NW,57,GJ,Calgary,Alberta,Canada,2021
1636 7A ST NW HOUSING,1636 7A ST NW,96,GJ,Calgary,Alberta,Canada,2021
1636 8 ST NW HOUSING,1636 8 ST NW,60,GJ,Calgary,Alberta,Canada,2021
1636 9 ST NW HOUSING,1636 9 ST NW,66,GJ,Calgary,Alberta,Canada,2021
