Business,Address,Annual Consumption,Units,City,Province,Country,Year
#100 6704 6 ST SW,#100 6704 6 ST SW,518,GJ,Calgary,Alberta,Canada,2022
#100 816 MCDOUGALL RD NE HOUSING,#100 816 MCDOUGALL RD NE,371,GJ,Calgary,Alberta,Canada,2022
100 CASTLEDALE WY NE HOUSING,100 CASTLEDALE WY NE,152,GJ,Calgary,Alberta,Canada,2022
100 FALCHURCH CR NE HOUSING,100 FALCHURCH CR NE,138,GJ,Calgary,Alberta,Canada,2022
10 & 12 FALMEAD PL NE HOUSING,12 FALMEAD PL NE,151,GJ,Calgary,Alberta,Canada,2022
#10-15 2730 19 AV SE HOUSING,#10-15 2730 19 AV SE,337,GJ,Calgary,Alberta,Canada,2022
1019 78 AV NW HOUSING,1019 78 AV NW,125,GJ,Calgary,Alberta,Canada,2022
1031A-1031D 8 ST SE HOUSING,1031 8 ST SE,242,GJ,Calgary,Alberta,Canada,2022
1033-1039 8 ST SE HOUSING,1033 8 ST SE,500,GJ,Calgary,Alberta,Canada,2022
1040 & 1042 MAGGIE ST SE HOUSING,1040 MAGGIE ST SE,122,GJ,Calgary,Alberta,Canada,2022
1041 & 1043 8 ST SE HOUSING,1041 8 ST SE,85,GJ,Calgary,Alberta,Canada,2022
1045 & 1047 8 ST SE HOUSING,1045 8 ST SE,148,GJ,Calgary,Alberta,Canada,2022
1049 & 1051 8 ST SE HOUSING,1051 8 ST SE,168,GJ,Calgary,Alberta,Canada,2022
104 ABINGDON CO NE HOUSING,104 ABINGDON CO NE,127,GJ,Calgary,Alberta,Canada,2022
106-110 TACHE AV NW HOUSING,110 TACHE AV NW,202,GJ,Calgary,Alberta,Canada,2022
108 ABALONE CR NE HOUSING,108 ABALONE CR NE,86,GJ,Calgary,Alberta,Canada,2022
110 & 112 ERIN WOODS BV SE HOUSING,110 ERIN WOODS BV SE,161,GJ,Calgary,Alberta,Canada,2022
1111 36 ST SE HOUSING,1111 36 ST SE,111,GJ,Calgary,Alberta,Canada,2022
111 ABALONE WY NE HOUSING,111 ABALONE WY NE,105,GJ,Calgary,Alberta,Canada,2022
1129 & 1131 22 AV NW HOUSING,1129 22 AV NW,138,GJ,Calgary,Alberta,Canada,2022
113 & 115 FALBURY CR NE HOUSING,113 FALBURY CR NE,160,GJ,Calgary,Alberta,Canada,2022
1133 & 1135 22 AV NW HOUSING,1131 22 AV NW,195,GJ,Calgary,Alberta,Canada,2022
1137 & 1139 22 AV NW HOUSING,1133 22 AV NW,153,GJ,Calgary,Alberta,Canada,2022
114 & 116 ERIN WOODS BV SE HOUSING,114 ERIN WOODS BV SE,226,GJ,Calgary,Alberta,Canada,2022
116 ABBERCOVE WY SE HOUSING,116 ABBERCOVE WY SE,102,GJ,Calgary,Alberta,Canada,2022
118-124 ERIN DALE CR SE HOUSING,120 ERIN DALE CR SE,248,GJ,Calgary,Alberta,Canada,2022
120 FALTON DR NE HOUSING,120 FALTON DR NE,170,GJ,Calgary,Alberta,Canada,2022
121 & 123 FALSBY RD NE HOUSING,121 FALSBY RD NE,145,GJ,Calgary,Alberta,Canada,2022
