#100 6704 6 ST SW,#100 6704 6 ST SW,469,GJ,Calgary,Alberta,Canada,2023
#100 816 MCDOUGALL RD NE HOUSING,#100 816 MCDOUGALL RD NE,343,GJ,Calgary,Alberta,Canada,2023
100 CASTLEDALE WY NE HOUSING,100 CASTLEDALE WY NE,155,GJ,Calgary,Alberta,Canada,2023
100 FALCHURCH CR NE HOUSING,100 FALCHURCH CR NE,145,GJ,Calgary,Alberta,Canada,2023
10 & 12 FALMEAD PL NE HOUSING,12 FALMEAD PL NE,143,GJ,Calgary,Alberta,Canada,2023
#10-15 2730 19 AV SE HOUSING,#10-15 2730 19 AV SE,322,GJ,Calgary,Alberta,Canada,2023
1019 78 AV NW HOUSING,1019 78 AV NW,111,GJ,Calgary,Alberta,Canada,2023
1031A-1031D 8 ST SE HOUSING,1031 8 ST SE,203,GJ,Calgary,Alberta,Canada,2023
1033-1039 8 ST SE HOUSING,1033 8 ST SE,486,GJ,Calgary,Alberta,Canada,2023
1040 & 1042 MAGGIE ST SE HOUSING,1040 MAGGIE ST SE,114,GJ,Calgary,Alberta,Canada,2023
1041 & 1043 8 ST SE HOUSING,1041 8 ST SE,81,GJ,Calgary,Alberta,Canada,2023
1045 & 1047 8 ST SE HOUSING,1045 8 ST SE,134,GJ,Calgary,Alberta,Canada,2023
1049 & 1051 8 ST SE HOUSING,1051 8 ST SE,168,GJ,Calgary,Alberta,Canada,2023
104 ABINGDON CO NE HOUSING,104 ABINGDON CO NE,126,GJ,Calgary,Alberta,Canada,2023
106-110 TACHE AV NW HOUSING,110 TACHE AV NW,173,GJ,Calgary,Alberta,Canada,2023
108 ABALONE CR NE HOUSING,108 ABALONE CR NE,79,GJ,Calgary,Alberta,Canada,2023
110 & 112 ERIN WOODS BV SE HOUSING,110 ERIN WOODS BV SE,136,GJ,Calgary,Alberta,Canada,2023
1111 36 ST SE HOUSING,1111 36 ST SE,102,GJ,Calgary,Alberta,Canada,2023
111 ABALONE WY NE HOUSING,111 ABALONE WY NE,95,GJ,Calgary,Alberta,Canada,2023
1129 & 1131 22 AV NW HOUSING,1129 22 AV NW,132,GJ,Calgary,Alberta,Canada,2023
113 & 115 FALBURY CR NE HOUSING,113 FALBURY CR NE,142,GJ,Calgary,Alberta,Canada,2023
1133 & 1135 22 AV NW HOUSING,1131 22 AV NW,138,GJ,Calgary,Alberta,Canada,2023
1137 & 1139 22 AV NW HOUSING,1133 22 AV NW,140,GJ,Calgary,Alberta,Canada,2023
114 & 116 ERIN WOODS BV SE HOUSING,114 ERIN WOODS BV SE,208,GJ,Calgary,Alberta,Canada,2023
116 ABBERCOVE WY SE HOUSING,116 ABBERCOVE WY SE,113,GJ,Calgary,Alberta,Canada,2023
118-124 ERIN DALE CR SE HOUSING,120 ERIN DALE CR SE,227,GJ,Calgary,Alberta,Canada,2023
120 FALTON DR NE HOUSING,120 FALTON DR NE,137,GJ,Calgary,Alberta,Canada,2023
121 & 123 FALSBY RD NE HOUSING,121 FALSBY RD NE,130,GJ,Calgary,Alberta,Canada,2023
1215 17 AV NW HOUSING,1215 17 AV NW,800,GJ,Calgary,Alberta,Canada,2023
121 FALTON DR NE HOUSING,121 FALTON DR NE,82,GJ,Calgary,Alberta,Canada,2023
1239 17 AV NW HOUSING,1239 17 AV NW,696,GJ,Calgary,Alberta,Canada,2023
123 ABALONE WY NE HOUSING,123 ABALONE WY NE,110,GJ,Calgary,Alberta,Canada,2023
123 ERIN MOUNT CR SE HOUSING,123 ERIN MOUNT CR SE,113,GJ,Calgary,Alberta,Canada,2023
123 FALTON DR NE HOUSING,123 FALTON DR NE,66,GJ,Calgary,Alberta,Canada,2023
126-130 ERIN DALE CR SE HOUSING,126 ERIN DALE CR SE,208,GJ,Calgary,Alberta,Canada,2023
127 ERIN MOUNT CR SE HOUSING,127 ERIN MOUNT CR SE,99,GJ,Calgary,Alberta,Canada,2023
128 HAVENHURST CR SW HOUSING,128 HAVENHURST CR SW,123,GJ,Calgary,Alberta,Canada,2023
12 ABBERCOVE DR SE HOUSING,12 ABBERCOVE DR SE,91,GJ,Calgary,Alberta,Canada,2023
12 ERIN RIDGE PL SE HOUSING,12 ERIN RIDGE PL SE,98,GJ,Calgary,Alberta,Canada,2023
1327 36 ST SE HOUSING,1327 36 ST SE,168,GJ,Calgary,Alberta,Canada,2023
132 FALTON DR NE HOUSING,132 FALTON DR NE,104,GJ,Calgary,Alberta,Canada,2023
1352 FALCONRIDGE DR NE HOUSING,1352 FALCONRIDGE DR NE,97,GJ,Calgary,Alberta,Canada,2023
#1-3 60 CEDARWOOD HL SW HOUSING,60 CEDARWOOD HL SW,218,GJ,Calgary,Alberta,Canada,2023
139 ERIN MOUNT CR SE HOUSING,139 ERIN MOUNT CR SE,112,GJ,Calgary,Alberta,Canada,2023
13 ERIN WOODS PL SE HOUSING,13 ERIN WOODS PL SE,94,GJ,Calgary,Alberta,Canada,2023
1404 & 1406 15 ST SE HOUSING,1406 15 ST SE,176,GJ,Calgary,Alberta,Canada,2023
1407 & 1409 16 ST SE HOUSING,1409 16 ST SE,134,GJ,Calgary,Alberta,Canada,2023
1408 & 1410 16 ST SE HOUSING,1410 16 ST SE,170,GJ,Calgary,Alberta,Canada,2023
140 ERIN GROVE CL SE HOUSING,140 ERIN GROVE CL SE,109,GJ,Calgary,Alberta,Canada,2023
140 FALTON CL NE HOUSING,140 FALTON CL NE,83,GJ,Calgary,Alberta,Canada,2023
1413 & 1415 16A ST SE HOUSING,1415 16A ST SE,122,GJ,Calgary,Alberta,Canada,2023
#14-18 7000 RANCHERO RD NW HOUSING,7000 RANCHERO RD NW,325,GJ,Calgary,Alberta,Canada,2023
1420 & 1420 16A ST SE HOUSING,1420 16A ST SE,163,GJ,Calgary,Alberta,Canada,2023
144 FALTON CL NE HOUSING,144 FALTON CL NE,74,GJ,Calgary,Alberta,Canada,2023
1451 21 AV SW HOUSING,1451 21 AV SW,4893,GJ,Calgary,Alberta,Canada,2023
15 & 19 DEERPOINT RD SE HOUSING,19 DEERPOINT RD SE,199,GJ,Calgary,Alberta,Canada,2023
152 ABINGDON CO NE HOUSING,152 ABINGDON CO NE,93,GJ,Calgary,Alberta,Canada,2023
155 & 157 FALTON DR NE HOUSING,155 FALTON DR NE,155,GJ,Calgary,Alberta,Canada,2023
159 & 161 FALTON DR NE HOUSING,159 FALTON DR NE,186,GJ,Calgary,Alberta,Canada,2023
15 RANCHERO GR NW HOUSING,15 RANCHERO GR NW,253,GJ,Calgary,Alberta,Canada,2023
160 FALTON DR NE HOUSING,160 FALTON DR NE,98,GJ,Calgary,Alberta,Canada,2023
#1-6 15 NORQUAY CO NW HOUSING,#1-6 15 NORQUAY CO NW,488,GJ,Calgary,Alberta,Canada,2023
1620 12 AV SW HOUSING,1620 12 AV SW,1806,GJ,Calgary,Alberta,Canada,2023
1631 4A ST NW HOUSING,1631 4A ST NW,99,GJ,Calgary,Alberta,Canada,2023
1635 6A ST NW HOUSING,1635 6A ST NW,57,GJ,Calgary,Alberta,Canada,2023
1636 4A ST NW HOUSING,1636 4A ST NW,62,GJ,Calgary,Alberta,Canada,2023
1636 6A ST NW HOUSING,1636 6A ST NW,74,GJ,Calgary,Alberta,Canada,2023
1636 6 ST NW HOUSING,1636 6 ST NW,87,GJ,Calgary,Alberta,Canada,2023
1636 7A ST NW HOUSING,1636 7A ST NW,92,GJ,Calgary,Alberta,Canada,2023
1636 8 ST NW HOUSING,1636 8 ST NW,40,GJ,Calgary,Alberta,Canada,2023
1636 9 ST NW HOUSING,1636 9 ST NW,63,GJ,Calgary,Alberta,Canada,2023
167 & 169 FALTON DR NE HOUSING,167 FALTON DR NE,173,GJ,Calgary,Alberta,Canada,2023
171 & 173 FALTON DR NE HOUSING,171 FALTON DR NE,248,GJ,Calgary,Alberta,Canada,2023
1712 35 ST SE HOUSING,1712 35 ST SE,1093,GJ,Calgary,Alberta,Canada,2023
171 ERIN MOUNT CR SE HOUSING,171 ERIN MOUNT CR SE,96,GJ,Calgary,Alberta,Canada,2023
1733 28 AV SW HOUSING,1733 28 AV SW,1497,GJ,Calgary,Alberta,Canada,2023
173 ERIN RIDGE RD SE HOUSING,173 ERIN RIDGE RD SE,77,GJ,Calgary,Alberta,Canada,2023
175 & 177 FALTON DR NE HOUSING,175 FALTON DR NE,157,GJ,Calgary,Alberta,Canada,2023
#1-7 7000 RANCHERO RD NW HOUSING,20 CASTLEGLEN RD NE,465,GJ,Calgary,Alberta,Canada,2023
18 & 20 CASTLEGLEN RD NE HOUSING,182 TEMPLEGREEN DR NE,218,GJ,Calgary,Alberta,Canada,2023
182 & 184 TEMPLEGREEN DR NE HOUSING,1827 16A ST SW,165,GJ,Calgary,Alberta,Canada,2023
1827 16A ST SW HOUSING,183 CEDARDALE RD SW,1752,GJ,Calgary,Alberta,Canada,2023
183 & 185 CEDARDALE RD SW HOUSING,11 1840 RANCHLANDS WY NW,198,GJ,Calgary,Alberta,Canada,2023
1840 RANCHLANDS WY NW HOUSING,187 FALSHIRE DR NE,974,GJ,Calgary,Alberta,Canada,2023
187 FALSHIRE DR NE HOUSING,187 FALTON WY NE,117,GJ,Calgary,Alberta,Canada,2023
187 FALTON WY NE HOUSING,189 FALSHIRE DR NE,93,GJ,Calgary,Alberta,Canada,2023
