CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,Shape_area,Shape_Length,Shape,longitude,latitude
Residual Sub Area,4,01B,01B,NORTHWEST,N/A,UNDEVELOPED,5050848.1171880,9901.514414,Polygon,-114.2425903,51.1028373489825
Residual Sub Area,4,01C,01C,WEST,FUTURE,OTHER,2162015.6953130,6046.169403,Polygon,-114.2371747,51.0867970167412
Residual Sub Area,4,01F,01F,NORTHWEST,FUTURE,UNDEVELOPED,2240587.5312500,10555.24003,Polygon,-114.2633659,51.1196185664665
Residual Sub Area,4,01H,01H,WEST,FUTURE,OTHER,6409374.9843750,13371.5832,Polygon,-114.2806825,51.0945894504291
Residual Sub Area,4,01K,01K,NORTHWEST,N/A,UNDEVELOPED,13433281.2968750,15501.28982,Polygon,-114.2227594,51.1687243897925
Residual Sub Area,4,02B,02B,NORTH,FUTURE,UNDEVELOPED,6771372.3906250,10408.87012,Polygon,-114.1993996,51.1760319383122
Residual Sub Area,4,02C,02C,NORTH,FUTURE,UNDEVELOPED,3756568.3281250,9596.498389,Polygon,-114.1766746,51.1759016590205
Residual Sub Area,4,02E,02E,NORTHWEST,FUTURE,OTHER,6649406.7421880,10420.44038,Polygon,-114.199437,51.1614344011040
Residual Sub Area,4,02F,02F,NORTHWEST,N/A,OTHER,8366928.1171880,11240.00036,Polygon,-114.1750748,51.1600125224295
Residual Sub Area,4,02K,02K,NORTH,FUTURE,UNDEVELOPED,6690747.9453130,10337.71647,Polygon,-114.199453,51.1905531634671
Residual Sub Area,4,02L,02L,,,OTHER,22796186.4375000,29005.71727,Polygon,-114.127381,51.1977396419114
Residual Sub Area,4,03W,03W,NORTH,FUTURE,OTHER,32950063.7421880,31359.12184,Polygon,-114.0247696,51.1979679583479
Residual Sub Area,4,05D,05D,NORTHEAST,N/A,UNDEVELOPED,3689634.8984380,8020.411454,Polygon,-113.9586618,51.1795976464406
Residual Sub Area,4,05E,05E,NORTHEAST,FUTURE,UNDEVELOPED,7962455.5781250,18906.16701,Polygon,-113.9292099,51.1799078958972
Residual Sub Area,4,05F,05F,NORTHEAST,FUTURE,UNDEVELOPED,2742961.6953130,7294.408841,Polygon,-113.9164931,51.1470352540864
Residual Sub Area,4,05G,05G,NORTHEAST,N/A,UNDEVELOPED,1343598.8125000,4656.032156,Polygon,-113.9165003,51.1361928485583
Residual Sub Area,4,06A,06A,WEST,FUTURE,OTHER,7165831.5312500,21098.84598,Polygon,-114.2298721,51.0592705287797
Residual Sub Area,4,06B,06B,WEST,FUTURE,UNDEVELOPED,1253232.1015630,4723.611299,Polygon,-114.2299492,51.0778888452864
Residual Sub Area,4,06C,06C,WEST,FUTURE,UNDEVELOPED,1158727.0859380,6249.727769,Polygon,-114.2274594,51.0839808027657
Residual Sub Area,4,09D,09D,CENTRE,N/A,UNDEVELOPED,1018270.4843750,5473.54729,Polygon,-114.0124209,51.0118621960851
Residual Sub Area,4,09H,09H,EAST,N/A,UNDEVELOPED,1417687.0625000,5223.195297,Polygon,-114.0153902,51.0063649988753
Residual Sub Area,4,09O,09O,EAST,FUTURE,UNDEVELOPED,15556120.2187500,22963.45509,Polygon,-113.8771069,51.0525720952621
Residual Sub Area,4,09P,09P,EAST,FUTURE,UNDEVELOPED,16439427.7968750,17994.58667,Polygon,-113.8887648,51.0268377687649
Residual Sub Area,4,09Q,09Q,EAST,N/A,OTHER,23024445.2421880,20852.12573,Polygon,-113.933961,51.0262472763869
Residual Sub Area,4,10D,10D,NORTHEAST,FUTURE,UNDEVELOPED,2106367.6250000,6896.444304,Polygon,-113.9160304,51.1033506447637
Residual Sub Area,4,10E,10E,NORTHEAST,FUTURE,UNDEVELOPED,4752034.3750000,12102.89279,Polygon,-113.9162233,51.0814536199440
Residual Sub Area,4,12A,12A,SOUTHEAST,FUTURE,UNDEVELOPED,29300412.4375000,22029.3573,Polygon,-113.8932143,50.9650575561173
Residual Sub Area,4,12B,12B,SOUTHEAST,FUTURE,UNDEVELOPED,20273464.6406250,20390.51876,Polygon,-113.8986862,50.9392335247998
Residual Sub Area,4,12C,12C,SOUTHEAST,FUTURE,UNDEVELOPED,4155306.9453130,9031.509391,Polygon,-113.9034208,50.9251058073085
Residual Sub Area,4,12J,12J,SOUTHEAST,FUTURE,UNDEVELOPED,43347987.3046880,28778.93944,Polygon,-113.8834994,50.8835950858586
Residual Sub Area,4,12K,12K,SOUTHEAST,N/A,UNDEVELOPED,1999107.1484380,6086.082708,Polygon,-113.9129385,50.9757994951216
Residual Sub Area,4,12L,12L,SOUTHEAST,FUTURE,UNDEVELOPED,6480003.4531250,10180.09844,Polygon,-113.871519,50.9143505010226
Residual Sub Area,4,13A,13A,SOUTH,FUTURE,UNDEVELOPED,6668779.6796880,10331.53432,Polygon,-114.1981804,50.9141367805475
Residual Sub Area,4,13C,13C,SOUTH,FUTURE,UNDEVELOPED,6685946.8359380,10341.26264,Polygon,-114.1749906,50.9141135500229
Residual Sub Area,4,13E,13E,SOUTH,FUTURE,UNDEVELOPED,6751625.2578130,10390.01599,Polygon,-114.1981867,50.8993947572753
Residual Sub Area,4,13F,13F,SOUTH,FUTURE,UNDEVELOPED,6727566.8046880,10387.43945,Polygon,-114.1750006,50.8994151788735
Residual Sub Area,4,13G,13G,SOUTH,FUTURE,UNDEVELOPED,13334996.7968750,17447.43044,Polygon,-114.1434665,50.8958221222063
Residual Sub Area,4,13H,13H,SOUTH,N/A,UNDEVELOPED,507655.3437500,5394.321428,Polygon,-114.1128018,50.8922474410115
Residual Sub Area,4,13I,13I,SOUTH,N/A,UNDEVELOPED,197624.7812500,3800.800729,Polygon,-114.0994277,50.8927498800025
Residual Sub Area,4,13J,13J,SOUTH,FUTURE,OTHER,3341111.8593750,7840.443073,Polygon,-114.0882538,50.8740464859956
Residual Sub Area,4,13M,13M,SOUTH,FUTURE,UNDEVELOPED,7135247.6015630,16555.18947,Polygon,-114.0427594,50.8562392910428
Residential,1,ABB,ABBEYDALE,NORTHEAST,ESTABLISHED,2000s,4241303.8515630,9136.557214,Polygon,-113.9278,51.0594128121525
Industrial,2,ABP,AURORA BUSINESS PARK,NORTH,N/A,EMPLOYMENT,6087547.6093750,11961.4513,Polygon,-114.0584756,51.1362564912099
Residential,1,ACA,ACADIA,SOUTH,ESTABLISHED,1960s/1970s,9838877.7421880,14486.19373,Polygon,-114.0536992,50.9724125075033
Residential,1,ALB,ALBERT PARK/RADISSON HEIGHTS,EAST,ESTABLISHED,1950s,6332235.4765630,13074.34045,Polygon,-113.9967779,51.0445338285169
Residential,1,ALP,ALPINE PARK,SOUTH,DEVELOPING,BUILDING OUT,10494589.6953130,14329.17401,Polygon,-114.147017,50.9170356122299
Residential,1,ALT,ALTADORE,CENTRE,ESTABLISHED,INNER CITY,5385591.1796880,12732.68405,Polygon,-114.1018631,51.0159558612820
Residential,1,APP,APPLEWOOD PARK,EAST,ESTABLISHED,2000s,3964918.3750000,8950.229626,Polygon,-113.9278173,51.0448765283614
Residential,1,ARB,ARBOUR LAKE,NORTHWEST,ESTABLISHED,2000s,11143509.4140630,13987.14105,Polygon,-114.2076936,51.1325861311304
Residential,1,ASP,ASPEN WOODS,WEST,DEVELOPING,BUILDING OUT,9658820.3750000,14229.10256,Polygon,-114.2083988,51.0452183962725
Residential,1,AUB,AUBURN BAY,SOUTHEAST,COMPLETE,2000s,11338826.3593750,13263.45107,Polygon,-113.9584834,50.8925977253421
Industrial,2,AYB,ALYTH/BONNYBROOK,CENTRE,N/A,EMPLOYMENT,9596938.2734380,18272.98839,Polygon,-114.0304904,51.0273630495132
Residential,1,BDO,BONAVISTA DOWNS,SOUTH,ESTABLISHED,1960s/1970s,1353127.1250000,5338.119619,Polygon,-114.0315028,50.9437340258378
Residential,1,BED,BEDDINGTON HEIGHTS,NORTH,ESTABLISHED,1960s/1970s,8114281.1171880,14976.91298,Polygon,-114.0850214,51.1316328087336
Residential,1,BEL,BEL-AIRE,CENTRE,ESTABLISHED,1960s/1970s,849933.1093750,4091.001723,Polygon,-114.0889342,50.9994445007323
Residential,1,BLM,BELMONT,SOUTH,DEVELOPING,BUILDING OUT,7162160.0000000,15369.68756,Polygon,-114.0552517,50.8686836569149
Residential,1,BLN,BELTLINE,CENTRE,ESTABLISHED,CENTRE CITY,7438908.1093750,15399.61638,Polygon,-114.0551834,51.0374499875696
Residential,1,BNF,BANFF TRAIL,CENTRE,ESTABLISHED,1950s,3672715.0937500,9338.058754,Polygon,-114.1151236,51.0742197129933
Residential,1,BNK,BANKVIEW,CENTRE,ESTABLISHED,INNER CITY,1734264.9921880,5426.465611,Polygon,-114.1009457,51.0341288302940
Residential,1,BOW,BOWNESS,NORTHWEST,ESTABLISHED,1950s,14196103.4296880,23090.20073,Polygon,-114.1883782,51.0833725029744
Residential,1,BRA,BRAESIDE,SOUTH,ESTABLISHED,1960s/1970s,4935928.8515630,8979.617052,Polygon,-114.1063659,50.9559928889642
Residential,1,BRD,BRIDGELAND/RIVERSIDE,CENTRE,ESTABLISHED,INNER CITY,7706867.0312500,13303.43456,Polygon,-114.0350818,51.0505499509508
Residential,1,BRE,BRENTWOOD,NORTHWEST,ESTABLISHED,1960s/1970s,7319999.7812500,12746.40552,Polygon,-114.1324547,51.0966365778579
Residential,1,BRI,BRIDLEWOOD,SOUTH,COMPLETE,2000s,8128065.0000000,11293.66547,Polygon,-114.1102113,50.8992246478936
Residential,1,BRT,BRITANNIA,CENTRE,ESTABLISHED,1950s,1269688.6875000,5109.826378,Polygon,-114.0862861,51.0126397292673
Industrial,2,BUR,BURNS INDUSTRIAL,CENTRE,N/A,EMPLOYMENT,7311181.9140630,15287.9456,Polygon,-114.0360428,51.0001043775552
Residential,1,BVD,BELVEDERE,EAST,DEVELOPING,BUILDING OUT,9260183.8203130,12495.63531,Polygon,-113.904983,51.0378321881651
Residential,1,BYV,BAYVIEW,SOUTH,ESTABLISHED,1960s/1970s,1068066.4218750,6819.763856,Polygon,-114.1139712,50.9746354984257
Residential,1,CAM,CAMBRIAN HEIGHTS,CENTRE,ESTABLISHED,1950s,2186964.4218750,8213.712444,Polygon,-114.0870872,51.0845864351507
Residential,1,CAN,CANYON MEADOWS,SOUTH,ESTABLISHED,1960s/1970s,7742528.3828130,13596.84326,Polygon,-114.0815564,50.9422463486283
Residential,1,CAP,CAPITOL HILL,CENTRE,ESTABLISHED,1950s,3588519.3046880,10499.51711,Polygon,-114.09463,51.0726677935917
Residential,1,CAR,CARRINGTON,NORTH,DEVELOPING,BUILDING OUT,7595938.3515630,13892.68829,Polygon,-114.0817328,51.1788723237601
Residential,1,CAS,CASTLERIDGE,NORTHEAST,ESTABLISHED,1980s/1990s,3070904.0156250,7273.663847,Polygon,-113.9610298,51.1052573727413
Residential,1,CED,CEDARBRAE,SOUTH,ESTABLISHED,1960s/1970s,5209580.7890630,9598.142583,Polygon,-114.1296217,50.9582037118842
