annual_con,year,ss_rate,gi_text,source_id,gipvalue,gizscore,gi_bin,nneighbors
198,2018,0.09811695,Hot Spot with 99% Confidence  ,1,0.00228572,3.05035311,3,859
24,2018,0.01189296,Hot Spot with 99% Confidence  ,2,0.00228572,3.05035311,3,859
17,2018,0.00842418,Hot Spot with 99% Confidence  ,3,0.00228572,3.05035311,3,859
22,2018,0.01090188,Hot Spot with 99% Confidence  ,4,0.00228572,3.05035311,3,859
16,2018,0.00792864,Cold Spot with 95% Confidence ,5,0.022761,-2.2774226,-2,30
14,2018,0.00693756,Hot Spot with 99% Confidence  ,6,0.00228572,3.05035311,3,859
23,2018,0.01139742,Hot Spot with 99% Confidence  ,7,0.00228572,3.05035311,3,859
14,2018,0.00693756,Hot Spot with 99% Confidence  ,8,0.00228572,3.05035311,3,859
25,2018,0.0123885,Hot Spot with 99% Confidence  ,9,0.00228572,3.05035311,3,859
29,2018,0.01437066,Hot Spot with 99% Confidence  ,10,0.00228572,3.05035311,3,859
11,2018,0.00545094,Hot Spot with 99% Confidence  ,11,0.00228572,3.05035311,3,859
40,2018,0.01982161,Hot Spot with 99% Confidence  ,12,0.00228572,3.05035311,3,859
16,2018,0.00792864,Hot Spot with 99% Confidence  ,13,0.00228572,3.05035311,3,859
13,2018,0.00644202,Hot Spot with 99% Confidence  ,14,0.00228572,3.05035311,3,859
36,2018,0.01783944,Hot Spot with 99% Confidence  ,15,0.00228572,3.05035311,3,859
17,2018,0.00842418,Hot Spot with 99% Confidence  ,16,0.00228572,3.05035311,3,859
14,2018,0.00693756,Hot Spot with 99% Confidence  ,17,0.00228572,3.05035311,3,859
13,2018,0.00644202,Hot Spot with 99% Confidence  ,18,0.00228572,3.05035311,3,859
18,2018,0.00891972,Hot Spot with 99% Confidence  ,19,0.00228572,3.05035311,3,859
19,2018,0.00941526,Hot Spot with 99% Confidence  ,20,0.00228572,3.05035311,3,859
20,2018,0.0099108,Hot Spot with 99% Confidence  ,21,0.00228572,3.05035311,3,859
58,2018,0.02874133,Hot Spot with 99% Confidence  ,22,0.00228572,3.05035311,3,859
487,2018,0.24132805,Hot Spot with 99% Confidence  ,23,0.00228572,3.05035311,3,859
27,2018,0.01337958,Hot Spot with 99% Confidence  ,24,0.00228572,3.05035311,3,859
14,2018,0.00693756,Cold Spot with 95% Confidence ,25,0.022761,-2.2774226,-2,30
40,2018,0.01982161,Not Significant               ,26,0.19311252,-1.30142646,0,12
250,2018,0.12388503,Hot Spot with 99% Confidence  ,27,0.00228572,3.05035311,3,859
13,2018,0.00644202,Hot Spot with 99% Confidence  ,28,0.00228572,3.05035311,3,859
187,2018,0.09266601,Hot Spot with 99% Confidence  ,29,0.00228572,3.05035311,3,859
22,2018,0.01090188,Hot Spot with 99% Confidence  ,30,0.00228572,3.05035311,3,859
83,2018,0.04112983,Hot Spot with 99% Confidence  ,31,0.00228572,3.05035311,3,859
28,2018,0.01387512,Hot Spot with 99% Confidence  ,32,0.00228572,3.05035311,3,859
28,2018,0.01387512,Hot Spot with 99% Confidence  ,33,0.00228572,3.05035311,3,859
29,2018,0.01437066,Not Significant               ,34,0.23886162,-1.17783699,0,12
157,2018,0.0777998,Hot Spot with 99% Confidence  ,35,0.00228572,3.05035311,3,859
11,2018,0.00545094,Hot Spot with 99% Confidence  ,36,0.00228572,3.05035311,3,859
47,2018,0.02329039,Hot Spot with 99% Confidence  ,37,0.00228572,3.05035311,3,859
142,2018,0.0703667,Hot Spot with 99% Confidence  ,38,0.00228572,3.05035311,3,859
90,2018,0.04459861,Hot Spot with 99% Confidence  ,39,0.00228572,3.05035311,3,859
24,2018,0.01189296,Hot Spot with 99% Confidence  ,40,0.00228572,3.05035311,3,859
13,2018,0.00644202,Not Significant               ,41,0.19311252,-1.30142646,0,12
50,2018,0.02477701,Hot Spot with 99% Confidence  ,42,0.00228572,3.05035311,3,859
45,2018,0.02229931,Hot Spot with 99% Confidence  ,43,0.00228572,3.05035311,3,859
44,2018,0.02180377,Hot Spot with 99% Confidence  ,44,0.00228572,3.05035311,3,859
21,2018,0.01040634,Hot Spot with 99% Confidence  ,45,0.00228572,3.05035311,3,859
31,2018,0.01536174,Hot Spot with 99% Confidence  ,46,0.00228572,3.05035311,3,859
17,2018,0.00842418,Hot Spot with 99% Confidence  ,47,0.00228572,3.05035311,3,859
19,2018,0.00941526,Hot Spot with 99% Confidence  ,48,0.00228572,3.05035311,3,859
285,2018,0.14122894,Hot Spot with 99% Confidence  ,49,0.00228572,3.05035311,3,859
16,2018,0.00792864,Hot Spot with 99% Confidence  ,50,0.00228572,3.05035311,3,859
27,2018,0.01337958,Hot Spot with 99% Confidence  ,51,0.00228572,3.05035311,3,859
19,2018,0.00941526,Hot Spot with 99% Confidence  ,52,0.00228572,3.05035311,3,859
27,2018,0.01337958,Hot Spot with 99% Confidence  ,53,0.00228572,3.05035311,3,859
25,2018,0.0123885,Hot Spot with 99% Confidence  ,54,0.00228572,3.05035311,3,859
29,2018,0.01437066,Hot Spot with 99% Confidence  ,55,0.00228572,3.05035311,3,859
90,2018,0.04459861,Hot Spot with 99% Confidence  ,56,0.00228572,3.05035311,3,859
26,2018,0.01288404,Hot Spot with 99% Confidence  ,57,0.00228572,3.05035311,3,859
24,2018,0.01189296,Hot Spot with 99% Confidence  ,58,0.00228572,3.05035311,3,859
19,2018,0.00941526,Cold Spot with 95% Confidence ,59,0.022761,-2.2774226,-2,30
19,2018,0.00941526,Cold Spot with 90% Confidence ,60,0.08996216,-1.69559737,-1,24
81,2018,0.04013875,Not Significant               ,61,0.69890475,-0.38679936,0,6
44,2018,0.02180377,Hot Spot with 99% Confidence  ,62,0.00228572,3.05035311,3,859
29,2018,0.01437066,Hot Spot with 99% Confidence  ,63,0.00228572,3.05035311,3,859
34,2018,0.01684836,Hot Spot with 99% Confidence  ,64,0.00228572,3.05035311,3,859
30,2018,0.0148662,Hot Spot with 99% Confidence  ,65,0.00228572,3.05035311,3,859
932,2018,0.46184341,Hot Spot with 99% Confidence  ,66,0.00228572,3.05035311,3,859
112,2018,0.0555005,Hot Spot with 99% Confidence  ,67,0.00228572,3.05035311,3,859
35,2018,0.0173439,Hot Spot with 99% Confidence  ,68,0.00228572,3.05035311,3,859
59,2018,0.02923687,Hot Spot with 99% Confidence  ,69,0.00228572,3.05035311,3,859
589,2018,0.29187314,Hot Spot with 99% Confidence  ,70,0.00228572,3.05035311,3,859
76,2018,0.03766105,Cold Spot with 90% Confidence ,71,0.08996216,-1.69559737,-1,24
23,2018,0.01139742,Not Significant               ,72,0.39652696,-0.84784024,0,18
253,2018,0.12537166,Hot Spot with 99% Confidence  ,73,0.00228572,3.05035311,3,859
16,2018,0.00792864,Hot Spot with 99% Confidence  ,74,0.00228572,3.05035311,3,859
14,2018,0.00693756,Hot Spot with 99% Confidence  ,75,0.00228572,3.05035311,3,859
26,2018,0.01288404,Hot Spot with 99% Confidence  ,76,0.00228572,3.05035311,3,859
23,2018,0.01139742,Cold Spot with 95% Confidence ,77,0.022761,-2.2774226,-2,30
21,2018,0.01040634,Cold Spot with 90% Confidence ,78,0.08996216,-1.69559737,-1,24
11,2018,0.00545094,Hot Spot with 99% Confidence  ,79,0.00228572,3.05035311,3,859
58,2018,0.02874133,Hot Spot with 99% Confidence  ,80,0.00228572,3.05035311,3,859
26,2018,0.01288404,Hot Spot with 99% Confidence  ,81,0.00228572,3.05035311,3,859
36,2018,0.01783944,Hot Spot with 99% Confidence  ,82,0.00228572,3.05035311,3,859
48,2018,0.02378593,Hot Spot with 99% Confidence  ,83,0.00228572,3.05035311,3,859
44,2018,0.02180377,Hot Spot with 99% Confidence  ,84,0.00228572,3.05035311,3,859
27,2018,0.01337958,Not Significant               ,85,0.39652696,-0.84784024,0,18
32,2018,0.01585728,Hot Spot with 99% Confidence  ,86,0.00228572,3.05035311,3,859
371,2018,0.18384539,Hot Spot with 99% Confidence  ,87,0.00228572,3.05035311,3,859
331,2018,0.16402379,Hot Spot with 99% Confidence  ,88,0.00228572,3.05035311,3,859
155,2018,0.07680872,Not Significant               ,89,0.82083658,0.22646911,0,6
13,2018,0.00644202,Hot Spot with 99% Confidence  ,90,0.00228572,3.05035311,3,859
29,2018,0.01437066,Cold Spot with 90% Confidence ,91,0.08996216,-1.69559737,-1,24
250,2018,0.12388503,Hot Spot with 99% Confidence  ,92,0.00228572,3.05035311,3,859
27,2018,0.01337958,Hot Spot with 99% Confidence  ,93,0.00228572,3.05035311,3,859
40,2018,0.01982161,Hot Spot with 99% Confidence  ,94,0.00228572,3.05035311,3,859
19,2018,0.00941526,Hot Spot with 99% Confidence  ,95,0.00228572,3.05035311,3,859
25,2018,0.0123885,Hot Spot with 99% Confidence  ,96,0.00228572,3.05035311,3,859
15,2018,0.0074331,Hot Spot with 99% Confidence  ,97,0.00228572,3.05035311,3,859
20,2018,0.0099108,Hot Spot with 99% Confidence  ,98,0.00228572,3.05035311,3,859
73,2018,0.03617443,Hot Spot with 99% Confidence  ,99,0.00228572,3.05035311,3,859
24,2018,0.01189296,Cold Spot with 95% Confidence ,100,0.022761,-2.2774226,-2,30
