CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE
Residential,1,NOL,NOLAN HILL,NORTH,DEVELOPING,2020s
Residential,1,PAN,PANORAMA HILLS,NORTH,COMPLETE,2010s
Residential,1,SHW,SHERWOOD,NORTH,COMPLETE,2010s
Residential,1,ROY,ROYAL OAK,NORTHWEST,COMPLETE,2010s
Residential,1,EVN,EVANSTON,NORTH,COMPLETE,2010s
Residential,1,CHA,CHAPARRAL,SOUTH,COMPLETE,2010s
Residential,1,MCT,MCKENZIE TOWNE,SOUTHEAST,COMPLETE,2010s
Residential,1,NEB,NEW BRIGHTON,SOUTHEAST,COMPLETE,2010s
Residential,1,SAD,SADDLE RIDGE,NORTHEAST,DEVELOPING,2000s
Residential,1,RSN,REDSTONE,NORTHEAST,DEVELOPING,2000s
Residential,1,SKR,SKYVIEW RANCH,NORTHEAST,DEVELOPING,2000s
Residential,1,CNS,CORNERSTONE,NORTHEAST,DEVELOPING,2000s
Residential,1,HAM,HAMPTONS,NORTHWEST,ESTABLISHED,2000s
Residential,1,KCA,KINCORA,NORTH,DEVELOPING,2000s
Residential,1,COV,COVENTRY HILLS,NORTH,COMPLETE,2000s
Residential,1,TAR,TARADALE,NORTHEAST,COMPLETE,2000s
Residential,1,CHV,COUNTRY HILLS VILLAGE,NORTH,COMPLETE,2000s
Residential,1,ROC,ROCKY RIDGE,NORTHWEST,COMPLETE,2000s
Residential,1,TUS,TUSCANY,NORTHWEST,COMPLETE,2000s
Residential,1,MDH,MEDICINE HILL,WEST,DEVELOPING,2000s
Residential,1,ARB,ARBOUR LAKE,NORTHWEST,ESTABLISHED,2000s
Residential,1,APP,APPLEWOOD PARK,EAST,ESTABLISHED,2000s
Residential,1,COR,CORAL SPRINGS,NORTHEAST,ESTABLISHED,2000s
Residential,1,MOR,MONTEREY PARK,NORTHEAST,ESTABLISHED,2000s
Residential,1,ABB,ABBEYDALE,NORTHEAST,ESTABLISHED,2000s
Residential,1,SVR,SYMONS VALLEY RANCH,NORTH,DEVELOPING,2000s
Residential,1,SET,SETON,SOUTHEAST,DEVELOPING,2000s
Residential,1,CGR,COUGAR RIDGE,WEST,COMPLETE,2000s
Residential,1,HUX,HUXLEY,EAST,DEVELOPING,2000s
Residential,1,OPH,OSPREY HILL,WEST,DEVELOPING,2000s
Residential,1,DIS,DISCOVERY RIDGE,WEST,ESTABLISHED,2000s
Residential,1,VAL,VALLEY RIDGE,WEST,ESTABLISHED,2000s
Residential,1,CRM,CRESTMONT,WEST,DEVELOPING,2000s
Residential,1,BRI,BRIDLEWOOD,SOUTH,COMPLETE,2000s
Residential,1,RVW,RANGEVIEW,SOUTHEAST,DEVELOPING,2000s
